Internal Reference,Product Name,Type de produit,Product Category,Sales Price
PROD-100,  Orion Bottle 500 ml  ,Article,Bottles,"1,25"
PROD-110,Nova Bottle 1 L,Article,Bottles,"2,50"
SERV-200,Artwork setup,Service,Design services,"45,00"
SERV-210,Priority support,Service,Support services,
COMP-010,Aluminium sheet,Article,Raw materials,"0,80"
COMP-020,Printed sleeve,Article,Packaging components,"0,15"
COMP-030,Recycled insert,Article,Raw materials,"0,55"
COMP-040,Gift carton,Article,Packaging components,"0,00"
SUB-300,Closure subassembly,Article,Subassemblies,"1,10"
PACK-400,Starter gift set,Ensemble,Bundles,"19,95"
